Tanggal,"Temperatur Minimum	 (°C)",Temperatur Maksimum (°C),Temperatur Rata-rata (°C),Kelembapan Rata-rata (%),Curah Hujan (mm),Lamanya Penyinaran Matahari (jam),Kecepatan Angin Maksimum (m/s),Arah Angin Saat Kecepatan Maksimum (°),Kecepatan Angin Rata-rata (m/s),Arah Angin Terbanyak (°)
15-01-2016,21,29.6,24.1,79,15.5,2.5,2,100,1,N 
16-01-2016,,29.8,22.7,81,,4.5,3,210,2,SW
17-01-2016,20,32,24.8,78,,6,4,70,1,N 
18-01-2016,21,28.7,24,82,23.8,5.7,4,240,2,NW
19-01-2016,22,28.3,22.9,89,12.4,3.5,4,220,2,N 
20-01-2016,21,29.4,23.4,84,39.5,2.3,3,270,1,N 
21-01-2016,20,29.2,23.9,80,19,3.7,5,240,2,SW
22-01-2016,20,29.4,24.1,80,,4.5,5,240,1,N 
23-01-2016,20,29.2,23.9,78,,4.2,7,270,3,W 
24-01-2016,22,28.2,24,80,8888,,5,260,2,SW
25-01-2016,21,28.2,23.6,80,0.2,1,3,240,1,SW
26-01-2016,20,,24.6,77,0.4,2.4,4,270,2,W 
27-01-2016,21,32,25.1,74,,5.8,5,270,2,N 
28-01-2016,21,32,25,74,8888,7,5,250,3,W 
29-01-2016,22,31.8,26,73,,8,4,280,2,W 
30-01-2016,22,31,24.9,79,0,9.6,4,270,2,W 
31-01-2016,,29.4,25.1,74,4,7.2,4,270,3,NW
01-02-2016,21,28.6,23.9,84,5.6,7.3,7,270,2,SW
02-02-2016,22,26.2,23.3,89,2.5,3,5,270,3,W 
03-02-2016,,30.1,24.3,76,12.5,0,4,230,2,W 
04-02-2016,21,27.6,23.7,83,,3.4,2,240,1,N 
05-02-2016,,29.6,25.3,73,13.8,0.3,3,260,2,W 
06-02-2016,22,31.6,25.8,71,,2.6,5,270,2,W 
07-02-2016,22,31.2,24.3,80,7.1,5.6,5,240,2,N 
08-02-2016,22,29,24.3,83,32.6,5,5,270,2,W 
09-02-2016,22,29.8,23.2,90,2.5,4,2,90,1,N 
10-02-2016,21,,23.2,85,17.8,3.6,7,270,2,W 
11-02-2016,21,27,23.7,81,6.3,2.4,5,220,2,W 
12-02-2016,22,28.6,23.8,78,1.5,0,5,270,2,W 
13-02-2016,21,29.6,24.5,78,12,1.2,4,260,2,N 
14-02-2016,21,30.8,24.4,76,0.2,2,3,90,2,SW
15-02-2016,,,24.4,79,,5.2,2,270,1,W 
16-02-2016,21,29.8,24.4,77,,6.4,6,240,3,SW
17-02-2016,21,27.2,22.8,89,0.7,5.3,2,240,0,N 
18-02-2016,22,30.3,24.4,80,11.8,1.5,5,180,2,N 
19-02-2016,21,31,24.6,77,0,4,4,120,2,N 
20-02-2016,,29.4,24.2,79,,,3,270,1,N 
21-02-2016,21,29.2,23.9,82,11.8,4.4,6,240,2,SW
22-02-2016,20,29.6,23.7,85,6.3,3,6,270,3,SW
23-02-2016,21,30.4,24.5,82,22.5,5.9,5,260,2,N 
24-02-2016,21,29,24.5,81,0.3,7,4,300,2,N 
25-02-2016,,29.8,24.5,77,0.6,3,5,300,2,SW
26-02-2016,22,30,25,75,,5.8,4,240,2,SW
27-02-2016,21,29.4,24,80,5.5,6.5,5,220,3,W 
28-02-2016,22,26.5,23.8,85,19.6,3.6,5,270,3,W 
29-02-2016,22,28,23.4,86,0.8,0.5,5,260,2,W 
01-03-2016,,27,23.9,76,0.6,1.8,5,270,3,NW
02-03-2016,22,25.6,23.2,85,0.7,3,3,270,2,SW
03-03-2016,22,30.4,24.8,80,1.5,0,5,250,3,SW
04-03-2016,22,29.6,24.3,82,,5.9,4,260,1,N 
05-03-2016,,28.8,23.3,88,,2.8,3,220,1,N 
06-03-2016,21,30.6,24.8,82,,1.4,2,270,1,N 
07-03-2016,21,29.8,23.5,88,60.5,4.8,5,210,1,SW
08-03-2016,21,30.2,23.9,85,11.8,5.8,4,240,2,N 
09-03-2016,21,30.2,23.4,84,11.4,4.1,3,300,1,N 
10-03-2016,,29.6,23.7,88,18.4,3.9,2,360,0,N 
11-03-2016,22,28.8,23.2,90,6.1,2.9,3,80,1,N 
12-03-2016,20,30.8,23.5,84,34.4,2.7,3,270,1,N 
13-03-2016,21,31.8,24.8,79,26.5,5.8,5,120,2,SE
14-03-2016,22,30.8,24.8,81,2,6.6,5,240,2,N 
15-03-2016,21,31,24.8,80,27.3,4.1,5,330,2,NE
16-03-2016,21,30.8,24.3,83,86.3,6.6,3,240,1,N 
17-03-2016,21,30.6,24.7,80,1.4,4.2,4,240,2,SW
18-03-2016,22,32,25.1,79,2,4.7,4,260,2,W 
19-03-2016,23,31,25.7,79,8888,5.1,4,240,1,N 
20-03-2016,23,30,25.5,78,,3.1,3,240,1,N 
21-03-2016,,28.6,24.5,83,8888,0.5,2,240,1,N 
22-03-2016,21,28.8,23.6,85,11,1.5,2,270,1,N 
23-03-2016,21,29.6,23.8,83,7.8,2.5,5,270,2,W 
24-03-2016,21,31.2,24.7,78,7.3,2.9,5,220,2,N 
25-03-2016,21,29.6,23.8,83,2.4,4,2,230,1,N 
26-03-2016,,29.6,23.5,83,27.3,3.6,2,300,1,N 
27-03-2016,19,29.4,23.7,81,2,3,2,270,1,N 
28-03-2016,20,30.4,23.9,82,1.5,7,5,250,2,W 
29-03-2016,22,29,23.8,87,6.7,5.2,3,120,1,N 
30-03-2016,21,28.6,23.2,86,19.3,3.4,3,210,1,SW
31-03-2016,21,28.4,24,84,,4.1,2,320,0,N 
01-04-2016,21,29.2,23.2,88,1.8,1.4,2,270,1,N 
02-04-2016,21,28.7,23.2,88,5.8,4.1,3,250,1,N 
03-04-2016,20,29.4,23.6,86,17.3,3.4,4,230,1,N 
04-04-2016,21,31.6,25.6,77,2.4,4.5,3,120,1,SE
05-04-2016,22,28.2,23.4,91,36.5,7.4,2,240,1,N 
06-04-2016,20,29.2,23.6,84,47.4,2,2,330,1,N 
07-04-2016,20,30,23.6,85,8888,4.2,2,90,1,N 
08-04-2016,,29.4,24.2,82,1.3,5.5,3,240,1,N 
09-04-2016,21,31,24.1,84,42.8,5.6,4,0,1,N 
10-04-2016,,28.8,24.3,83,36.5,4.9,2,90,1,N 
11-04-2016,21,28,23.1,91,0,3.8,3,70,1,N 
12-04-2016,22,31,24.3,84,112.6,2.3,4,260,2,N 
13-04-2016,21,29,23.4,85,20.6,6.9,2,280,1,N 
14-04-2016,20,29.2,23.8,84,5.9,3.9,6,30,1,N 
15-04-2016,20,29.4,23.8,90,26.4,4.2,2,270,1,N 
16-04-2016,21,29.8,24,83,8888,1.4,3,270,1,N 
17-04-2016,21,30.3,24.9,82,2.2,5.7,4,340,2,SE
18-04-2016,21,31.4,24.9,77,0.1,5.8,2,70,1,N 
19-04-2016,22,29.4,24.4,86,1,6.9,3,150,1,N 
20-04-2016,22,30.2,24.9,77,,2.4,5,30,1,N 
21-04-2016,22,30.8,25.5,77,11.8,5.2,5,120,2,E 
22-04-2016,21,30.3,24.3,80,8888,6.1,4,120,2,SE
23-04-2016,22,30.4,24.8,81,2.5,5.9,4,110,2,E 
24-04-2016,20,29.2,23.9,82,0.4,,3,300,1,N 
25-04-2016,21,29.2,23.7,83,18.5,5.1,3,30,1,N 
26-04-2016,21,27,23.7,85,58.5,5.3,2,60,1,N 
27-04-2016,21,30.6,23.5,86,4.5,0.1,4,160,2,W 
28-04-2016,,29.7,23.6,86,26.3,4.1,4,210,1,N 
29-04-2016,20,29.4,24,87,14.8,4.5,3,120,1,N 
30-04-2016,,28.4,23.7,81,25.1,3.3,2,260,1,N 
01-05-2016,21,29,23.5,83,2.5,4.2,4,310,2,N 
02-05-2016,21,28,23.7,82,8888,5.6,5,30,2,N 
03-05-2016,21,28.7,24,85,12.5,4.1,2,230,1,NW
04-05-2016,,30.2,24.2,82,0,3,2,210,1,N 
05-05-2016,,27.6,23.4,86,6.1,7,3,120,1,N 
06-05-2016,21,30.6,24.3,79,0.2,3.7,4,210,1,E 
07-05-2016,21,29.8,23.9,83,8888,7.5,5,270,2,N 
08-05-2016,21,29.8,24,84,8888,3.5,4,260,1,N 
09-05-2016,21,29.6,23.4,84,1.6,5.5,3,240,1,N 
10-05-2016,20,29.8,23.9,83,10.2,6.3,2,240,1,N 
11-05-2016,21,29.5,23.9,80,3.5,6.4,2,100,1,N 
12-05-2016,21,30.4,23.7,82,17.5,5.3,4,260,2,N 
13-05-2016,22,30.2,24.9,85,43.5,5.5,5,240,1,N 
14-05-2016,,30.4,25.2,78,4.5,6.3,2,30,1,N 
15-05-2016,22,31.8,25.5,78,,4.8,4,270,2,SE
16-05-2016,,28.9,24.6,88,31.5,8,5,290,1,N 
17-05-2016,22,28.4,23.1,89,1,3.8,3,30,2,W 
18-05-2016,21,30,25,80,27.5,2.8,3,70,1,N 
19-05-2016,,30.6,25.4,77,0,,3,60,1,N 
20-05-2016,22,30.6,25,80,,6.9,3,120,1,N 
21-05-2016,,28.8,24.5,85,14.8,7.6,3,360,1,N 
22-05-2016,21,28.7,24.3,82,74.7,2.6,4,270,1,N 
23-05-2016,22,28.2,24,89,1.8,3.7,3,260,1,N 
24-05-2016,21,30.2,25,80,0.8,2.6,2,180,1,N 
25-05-2016,22,29.2,25,82,23.1,8.4,2,110,0,N 
26-05-2016,21,28,23.9,83,,4.8,2,120,0,N 
27-05-2016,21,27.8,22.9,84,4,4.2,4,120,1,N 
28-05-2016,20,29.3,23.5,82,8888,1.1,3,230,1,N 
29-05-2016,20,27.6,21.7,89,25.8,3.3,2,60,1,N 
30-05-2016,20,27.2,22.7,87,9.2,1.8,3,260,1,N 
31-05-2016,21,28.8,24.2,79,1.5,0,2,90,1,N 
01-06-2016,21,29.4,24.5,81,0,2.5,3,210,2,SW
02-06-2016,22,30,24.7,81,8888,4.1,5,250,1,N 
03-06-2016,21,,24.2,83,1,5.7,2,150,1,N 
04-06-2016,,30.6,24.3,74,4.8,4.5,3,260,1,N 
05-06-2016,20,27.6,23.5,84,8888,,3,300,1,N 
06-06-2016,20,28.6,22.8,87,4,1,5,240,1,N 
07-06-2016,20,29.8,23.7,85,23.5,4.9,3,120,2,N 
08-06-2016,20,29.2,23.3,83,38.2,7.2,2,60,1,N 
09-06-2016,20,27.4,23.2,84,2.7,,2,240,1,N 
10-06-2016,20,29.8,24.2,80,5.3,,2,120,1,N 
11-06-2016,19,29,23.2,79,,5.2,4,240,2,N 
12-06-2016,20,30.4,24.1,76,9.2,6.2,4,130,2,N 
13-06-2016,20,30,24.5,78,0,8.7,2,110,1,N 
14-06-2016,20,28,23,82,,6.1,3,270,1,N 
15-06-2016,,27,22.9,81,5.2,3.7,2,30,1,N 
16-06-2016,20,29.6,24,78,0.7,3,5,90,2,E 
17-06-2016,21,28.7,24,82,0,3.1,3,60,1,N 
18-06-2016,22,25.6,22.6,87,2,5,2,210,1,N 
19-06-2016,20,,22.7,82,7.6,0,2,240,1,N 
20-06-2016,20,28.8,23.6,78,3.2,1.3,4,240,1,N 
21-06-2016,20,31.2,23.8,75,0.3,1.9,3,240,1,SE
22-06-2016,,29.6,24.6,76,23.3,8.9,3,270,2,W 
23-06-2016,20,30,24.1,77,3.8,7.7,2,120,1,N 
24-06-2016,20,29.2,23.5,71,3.4,5.7,3,240,1,SW
25-06-2016,20,29.6,23.7,76,,8.4,4,120,2,NE
26-06-2016,20,29.7,24.3,76,,7.2,4,160,2,W 
27-06-2016,18,29,22.8,69,,5.8,5,210,2,N 
28-06-2016,19,29.6,23.6,70,0.5,5.9,5,240,2,SW
29-06-2016,20,,23.7,79,,1.9,2,90,1,N 
30-06-2016,21,29.6,23.8,81,0.6,3.3,4,240,2,E 
01-07-2016,20,30.4,23.8,74,1.3,5.4,4,270,1,W 
02-07-2016,,29.5,24.1,81,16.8,8,3,130,1,N 
03-07-2016,21,29.8,24.9,82,5,6.6,3,270,1,N 
04-07-2016,20,29.8,23.2,78,2.5,5.6,3,210,2,N 
05-07-2016,19,29.4,24.7,,1.7,7.7,5,270,1,W 
06-07-2016,20,30.9,24.2,73,8888,6.6,5,120,3,SE
07-07-2016,19,29.4,23.3,71,,7.9,3,350,2,E 
08-07-2016,19,29.8,24,74,0,7.9,3,120,2,NE
09-07-2016,19,29,23.4,75,,8.4,3,120,1,N 
10-07-2016,20,28.2,23.5,82,,6.5,4,240,2,SW
11-07-2016,21,28.6,23.8,77,0,3.1,3,240,2,SW
12-07-2016,21,27.3,23.2,84,3.9,5.5,3,340,1,N 
13-07-2016,19,28.4,22.3,83,1.1,2.6,3,330,1,N 
14-07-2016,20,28.4,24.4,79,13.1,5.2,2,210,1,N 
15-07-2016,20,29.2,23.1,86,1.5,5.8,2,240,1,SW
16-07-2016,20,28,23.6,82,3.3,7,3,90,1,N 
17-07-2016,20,27.8,23.1,84,15.2,3,3,280,1,SW
18-07-2016,20,29.1,22.6,85,1.3,5.6,4,230,2,N 
19-07-2016,20,29.4,23.1,80,18.2,7.7,2,120,1,N 
20-07-2016,19,25.9,21.2,91,1.4,6.3,4,90,1,N 
21-07-2016,19,30.8,22.7,84,44.6,2.6,5,270,2,NE
22-07-2016,20,25.6,21.9,89,16.8,7.3,5,270,1,N 
23-07-2016,19,28.9,22.2,84,18.8,2.5,3,120,2,SE
24-07-2016,18,30,23,79,13.6,5,2,110,1,N 
25-07-2016,18,30,24.4,72,8888,8.7,3,100,2,E 
26-07-2016,19,30,23.4,65,,,5,60,3,NE
27-07-2016,19,29.9,23.6,69,,9.9,5,120,2,E 
28-07-2016,19,29.2,22.8,78,0,6.7,3,240,1,N 
29-07-2016,20,29.4,24.1,81,1.6,5.6,3,240,1,N 
30-07-2016,19,29.6,23.7,76,8888,6.6,3,30,2,NE
31-07-2016,19,30.2,23.3,69,0.6,7,4,90,2,SW
01-08-2016,21,30.1,24.3,69,0,7.2,5,30,3,NE
02-08-2016,,30.2,22.3,62,,8.8,3,120,2,E 
03-08-2016,16,30,21.6,63,,9.7,3,60,1,NE
04-08-2016,16,28.4,22.8,72,,9.2,2,300,1,N 
05-08-2016,19,29.5,23.2,70,0,7.4,4,270,2,NW
06-08-2016,,30.2,23.9,70,,8.9,4,240,2,W 
07-08-2016,20,29,24.3,71,0,9.6,2,210,1,SW
08-08-2016,,27.4,24.1,86,0.8,,2,240,1,N 
09-08-2016,20,29.5,23.2,81,8888,1,3,240,1,SW
10-08-2016,19,31.2,23.8,66,7.7,5.5,5,210,2,SW
11-08-2016,19,30,23.9,71,15.1,8.9,5,110,2,E 
12-08-2016,19,28.4,23,,0,7.3,2,120,1,N 
13-08-2016,20,28,23.6,83,1,3.8,5,130,2,E 
14-08-2016,21,26.6,23.1,81,1.9,2.2,4,120,2,NE
15-08-2016,19,27.3,22.7,79,,0.1,2,110,1,N 
16-08-2016,19,28.2,22.3,85,0.2,1,2,70,1,N 
17-08-2016,18,30.4,23.7,74,14.2,4.8,2,270,1,N 
18-08-2016,19,29.4,24,85,30,7.9,5,120,1,SW
19-08-2016,19,30.4,23.7,72,0.2,5.5,4,240,1,E 
20-08-2016,19,29.8,24.5,69,,9.3,5,270,3,NE
21-08-2016,20,30.1,24.2,78,,9.3,4,270,2,W 
22-08-2016,20,29.6,23.8,73,0.5,9.4,5,80,2,E 
23-08-2016,,30.2,24.5,72,,6.7,4,250,2,SW
24-08-2016,21,30,24.6,72,,9.3,3,260,2,W 
25-08-2016,20,29.4,23.8,76,0.2,7.3,5,210,2,SW
26-08-2016,20,30,24.2,76,0.2,5.7,5,270,2,W 
27-08-2016,21,29.6,24.2,79,0,7.6,2,180,1,N 
28-08-2016,22,27.8,24.5,78,8888,3.3,2,60,1,N 
29-08-2016,22,29.2,23.7,81,0.3,0.7,4,250,2,E 
30-08-2016,20,29.6,23,84,6.7,4,5,70,2,E 
31-08-2016,19,28.2,23,82,49.7,4.4,4,230,1,SW
01-09-2016,20,30,24.5,79,0.2,3.3,3,240,1,SE
02-09-2016,20,30.2,23.4,79,,7.8,4,360,2,N 
03-09-2016,20,30.4,23.2,76,9.5,7.5,4,270,2,N 
04-09-2016,21,28.2,24.3,79,15,7.5,3,230,1,N 
05-09-2016,21,29.2,24.2,74,0.9,5.2,2,270,1,N 
06-09-2016,,29.2,23.7,79,8888,,3,210,1,N 
07-09-2016,19,29,23,83,17.4,6.1,3,120,2,SW
08-09-2016,20,28.8,23.7,81,13.8,6.9,3,90,2,E 
09-09-2016,21,29.2,23.7,76,14.6,1.2,2,120,1,N 
10-09-2016,21,29.8,24.4,77,0.2,2.3,7,120,2,SE
11-09-2016,20,29.6,23.3,76,0,4.7,3,90,2,NE
12-09-2016,20,30,23.2,79,3.1,6.5,5,250,2,N 
13-09-2016,19,30.2,23.8,73,17.8,7.6,2,210,1,N 
14-09-2016,19,28.9,23.8,80,,8.6,2,30,1,N 
15-09-2016,20,28.4,22.9,84,46.8,3.9,5,270,2,W 
16-09-2016,20,29.5,23.5,80,0.3,3.9,5,270,2,W 
17-09-2016,20,28.2,23.9,81,15.8,6.5,2,270,1,N 
18-09-2016,20,28.6,23.4,86,2.2,,5,240,2,N 
19-09-2016,22,28.6,24,86,30.8,3.7,3,40,2,NE
20-09-2016,22,28.3,24.2,83,15.3,2.5,4,260,2,W 
21-09-2016,21,29.8,24.1,79,16,1.5,5,20,2,N 
22-09-2016,20,28.6,23.3,81,,5.5,3,270,2,SW
23-09-2016,21,27.6,23,87,1.8,5.8,4,270,1,N 
24-09-2016,20,28.2,22.5,85,27.2,2.5,2,30,1,W 
25-09-2016,20,30,23.8,76,10.4,1.6,5,260,2,W 
26-09-2016,,29.2,24.8,70,2,7,5,240,2,SW
27-09-2016,21,29.2,23.5,80,0,5.6,5,270,3,S 
28-09-2016,20,28.2,23.5,80,20.4,1.3,4,290,1,N 
29-09-2016,21,29.4,24,80,4.5,2.2,3,240,2,SW
30-09-2016,21,26.6,23.2,86,0.2,6.6,2,210,1,N 
01-10-2016,19,29.6,23.6,77,5,1.5,3,270,2,SW
02-10-2016,20,27.6,22.4,90,8888,,3,270,2,W 
03-10-2016,20,29.4,23.8,79,40,1.9,3,230,2,SE
04-10-2016,21,27.4,22.9,,2.3,4,2,90,0,N 
05-10-2016,19,29.7,23.5,75,21.7,0.5,5,30,2,N 
06-10-2016,20,28.6,22.6,85,6.4,3.8,3,70,2,N 
07-10-2016,19,29.8,24.2,79,,5.9,2,120,1,N 
08-10-2016,20,25.8,22.9,86,1.3,6.6,2,220,1,E 
09-10-2016,20,30,23,83,,0.5,5,60,3,E 
10-10-2016,20,25.6,21.9,92,68.4,4.5,3,260,1,N 
11-10-2016,20,28.4,23.3,83,13.8,,3,220,1,N 
12-10-2016,21,27.4,23.5,86,0.5,1.2,2,240,1,SW
13-10-2016,21,28.6,23.6,81,0.2,1.7,6,240,3,W 
14-10-2016,20,28.8,23.2,82,,3.5,3,210,1,N 
15-10-2016,21,27.4,23.4,83,2.2,3.1,3,210,1,N 
16-10-2016,20,28.8,23.5,74,8.4,3.5,4,120,1,SE
17-10-2016,19,29.7,24,66,8888,4.3,4,270,2,W 
18-10-2016,20,30.4,25.2,67,,6.2,3,60,1,N 
19-10-2016,21,30.4,25.1,69,8888,4.9,4,300,1,N 
20-10-2016,20,30.2,23.7,80,7.1,6.7,3,240,2,NE
21-10-2016,21,30.2,23.2,84,14.5,5.6,4,290,2,W 
22-10-2016,21,28.4,23.8,86,16,2.3,3,180,2,W 
23-10-2016,21,25.2,22.6,89,8.9,2.7,3,60,1,N 
24-10-2016,21,27,21.8,92,5,0,2,120,1,NE
25-10-2016,21,28.5,23.2,85,83.5,1.9,5,220,2,NE
26-10-2016,,27.6,22.9,85,,2,4,260,1,N 
27-10-2016,20,27,22,89,7.1,,4,240,1,N 
28-10-2016,,27.6,21.8,91,16.5,1.4,2,120,1,SE
29-10-2016,20,28.4,22.8,86,22.4,2.7,4,150,2,E 
30-10-2016,19,26.8,21.3,91,11.1,3.1,2,260,1,N 
31-10-2016,19,29.6,22.5,85,,2.5,3,240,1,N 
01-11-2016,20,27.8,23.3,85,56.4,2.8,3,320,1,E 
02-11-2016,21,28.4,23.1,85,8888,2.8,5,240,2,SW
03-11-2016,21,28.1,23.1,86,3,1.7,2,260,0,N 
04-11-2016,21,28,23.4,83,23.2,1.6,10,30,2,N 
05-11-2016,21,30.6,22.8,86,20.7,2.8,3,150,1,N 
06-11-2016,21,30.6,25,79,29.2,4.1,5,120,2,N 
07-11-2016,21,30,24.6,78,8888,6.4,3,130,2,N 
08-11-2016,20,29,23,85,3.3,5.5,3,240,1,N 
09-11-2016,20,27.4,21.7,90,7.7,3.8,3,260,1,N 
10-11-2016,21,29.2,23.2,81,57.8,1.5,5,120,2,SE
11-11-2016,20,29.5,23.2,84,1.3,5,4,260,1,N 
12-11-2016,20,29,24,82,22,4.2,3,40,2,N 
13-11-2016,22,28.2,22,91,1.1,3.5,6,180,2,NE
14-11-2016,20,29,22.7,83,87.1,2.8,4,230,2,N 
15-11-2016,20,29.4,23,86,2.8,4,2,50,1,N 
16-11-2016,20,28.8,23.7,77,50.9,2.4,3,260,1,N 
17-11-2016,20,27.6,23.6,84,1.3,3.7,2,270,1,N 
18-11-2016,21,28.4,22.3,89,3.8,2.7,5,270,2,E 
19-11-2016,20,29.8,23.9,83,26.9,3.3,3,80,2,N 
20-11-2016,20,27.8,23.2,87,0.6,5.5,2,120,1,W 
21-11-2016,21,28.2,23.1,90,5,2.8,3,240,1,N 
22-11-2016,19,28.4,22.2,87,25.2,1.4,3,270,1,N 
23-11-2016,,31,24.2,79,3.3,4.2,5,270,2,N 
24-11-2016,21,29.2,24.5,79,0.1,3.8,4,240,2,N 
25-11-2016,21,28,23.5,85,5,2,3,240,1,SW
26-11-2016,21,29.6,23.7,80,1.1,1.6,5,260,3,SW
27-11-2016,21,30.2,24.4,80,1.6,4.7,6,270,2,N 
28-11-2016,21,28.2,23.9,80,1.1,7.4,3,180,2,SW
29-11-2016,,28.6,24.7,79,1,2.1,5,250,2,SW
30-11-2016,22,26.1,22.9,88,8888,1.8,4,240,2,N 
01-12-2016,20,27.8,23.8,75,7.3,0.3,5,260,3,W 
02-12-2016,21,28.6,23.7,79,1.7,1,3,240,2,SW
03-12-2016,22,28.8,24.5,70,3.9,2.6,5,270,3,SW
04-12-2016,22,29,24,76,0,1.5,6,270,3,W 
05-12-2016,22,27.4,23,80,8888,3.9,7,220,2,SW
06-12-2016,21,28.4,24,79,8888,0.5,5,240,2,SW
07-12-2016,22,27.4,23.9,82,,1.7,3,210,1,N 
08-12-2016,20,28.6,22.9,83,1.8,0.2,5,240,2,NE
09-12-2016,21,30.2,24.2,80,2.9,4.1,5,230,2,N 
10-12-2016,21,30.4,25.2,72,2,5.5,3,240,2,SW
11-12-2016,21,29.6,24.6,71,3.2,,3,215,2,W 
12-12-2016,21,28.8,23.7,81,12,4.8,6,270,3,W 
13-12-2016,21,27.8,23.9,79,8.5,4.2,4,260,2,W 
14-12-2016,21,28.6,22.5,89,0.4,0.9,4,240,2,SW
15-12-2016,20,28.6,24.1,67,15.2,2.2,4,240,2,SW
16-12-2016,22,30.2,24.5,73,0,4.3,8,270,4,W 
17-12-2016,21,28.3,23.9,70,1.2,6.8,5,270,2,W 
18-12-2016,21,29.4,24.1,71,,5.5,4,240,2,SW
19-12-2016,21,28,23.8,75,8888,5.1,5,250,2,W 
20-12-2016,22,30.7,25.2,65,1.5,1.7,8,270,5,W 
21-12-2016,22,30.1,25.1,57,,9.8,8,260,4,W 
22-12-2016,21,30.6,25.1,69,,9.8,5,210,3,SW
23-12-2016,21,31.4,25.9,63,0.5,7.5,6,250,3,SW
24-12-2016,22,30.6,25.5,68,0,9.5,6,260,4,W 
25-12-2016,22,29.4,24.3,77,,5.3,8,270,3,W 
26-12-2016,21,29.6,24.3,73,0,2.8,4,240,2,W 
27-12-2016,21,31.6,25.5,67,,0.5,4,260,2,W 
28-12-2016,22,30.6,25.8,66,0,3.3,5,230,3,W 
29-12-2016,,30,25.3,71,,4.1,5,270,3,W 
30-12-2016,22,30.2,24.9,69,0,4.1,3,280,2,SW
31-12-2016,22,31.2,25.4,67,,,5,280,2,W 
01-01-2017,22,31.5,25.2,65,3,7.1,6,240,4,SW
02-01-2017,22,30.8,25.8,67,0,7.8,5,240,2,SW
03-01-2017,22,31,25.4,69,0.3,6.8,5,240,3,SW
04-01-2017,22,29,25,75,8888,5.4,3,240,2,W 
05-01-2017,22,28.6,24.2,77,1.5,3.9,5,230,3,SW
06-01-2017,21,30.6,24.6,78,3,1.6,5,240,2,C 
07-01-2017,21,30.8,25.4,72,2.3,0.7,4,240,2,SW
08-01-2017,20,29.6,23.8,70,0,9.2,8,360,3,W 
09-01-2017,20,30.2,24.6,74,0,6.3,7,240,3,W 
10-01-2017,,29,24.4,77,8888,4.4,7,260,3,SW
11-01-2017,22,30.2,24.7,76,0.3,4.3,4,270,2,SW
12-01-2017,,,25,71,0,6.9,5,270,3,W 
13-01-2017,22,29.2,24.5,75,0.2,5.2,6,240,3,SW
14-01-2017,22,26.3,23.4,77,1,,5,280,3,W 
15-01-2017,22,28.6,24.8,69,0.2,,5,240,2,SW
16-01-2017,,28.4,23.8,75,8888,,3,240,2,W 
17-01-2017,21,27.8,22.9,85,1.7,3,4,210,2,W 
18-01-2017,21,,23.3,82,9.1,,4,280,3,W 
19-01-2017,21,30,24.4,72,0,5.6,5,240,3,W 
20-01-2017,22,31.2,25.2,68,0,8.5,6,240,3,W 
21-01-2017,22,30.2,25.1,68,1.6,7.9,5,270,3,SW
22-01-2017,21,30.2,24.6,79,13.2,8.5,5,240,3,SW
23-01-2017,20,30.6,24.7,70,8.7,6.3,4,270,2,SW
24-01-2017,21,30.2,23.9,73,8888,,10,240,3,SW
25-01-2017,21,28.4,23.7,77,1,7.2,4,270,2,SW
26-01-2017,20,27.4,23.2,70,1.1,1.1,5,270,3,SW
27-01-2017,21,28.4,23.5,73,0,0.6,2,260,2,SW
28-01-2017,21,27.8,23.1,83,3.8,4.3,5,270,3,W 
29-01-2017,21,25.6,22.3,84,9.2,3.3,5,210,2,SW
30-01-2017,20,27.6,23.2,79,7.1,1.2,5,240,3,SW
31-01-2017,,29,24,76,8888,2.4,7,220,3,W 
01-02-2017,21,27.8,22.6,83,1.6,5,4,270,2,SW
02-02-2017,20,26.8,22.4,79,6,3.6,7,240,4,SW
03-02-2017,20,26.4,22.4,76,8888,1.2,5,260,3,W 
04-02-2017,21,27.4,23,81,1.7,2.2,4,240,2,SW
05-02-2017,20,29.6,24.6,69,2.1,2.1,5,240,2,SW
06-02-2017,21,28.8,23,78,1.3,6.1,5,270,3,W 
07-02-2017,19,28,23.2,74,6.5,2.4,8,270,5,W 
08-02-2017,20,27,22.5,82,0,6.7,6,270,3,W 
09-02-2017,20,23.7,21.5,86,14.3,1.7,8,270,3,W 
10-02-2017,21,25.6,22.4,84,4.6,0,5,270,4,W 
11-02-2017,20,25,22,89,5.2,1.8,5,280,2,W 
12-02-2017,20,26.8,22.5,85,5,1.1,5,270,2,SW
13-02-2017,21,28.8,23.7,80,2.3,2.1,8,270,3,W 
14-02-2017,21,27.8,23.2,82,2.3,7.2,6,270,3,W 
15-02-2017,21,29.1,22.9,84,0.8,3.7,6,250,3,W 
16-02-2017,21,28.2,23.6,78,4.3,6.4,3,260,2,W 
17-02-2017,,29.8,24,78,1.6,5.5,5,270,3,SW
18-02-2017,21,29.4,24.4,75,0,8.8,5,270,3,SW
19-02-2017,21,28.7,23.1,83,0,5.7,6,260,3,W 
20-02-2017,21,25.8,22.8,86,0,4.8,4,230,1,C 
21-02-2017,21,26.4,23,83,30,0.2,2,200,1,N 
22-02-2017,20,29,22.9,82,0.2,0.2,5,320,2,E 
23-02-2017,20,,23.2,82,25.7,4.8,4,60,1,N 
